N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3;2;1;1;2;1;1;1;2;1;1;2;
200;7;4;3;3;3;3;2;3;3;3;2;5;
300;11;6;5;6;5;4;4;4;4;4;4;4;
400;12;8;12;7;7;6;5;6;6;10;6;6;
500;18;12;9;8;8;7;7;7;8;13;13;7;
600;12;11;11;10;9;8;15;15;8;8;9;9;
700;11;14;12;11;18;18;10;11;18;11;18;11;
800;36;24;18;13;21;20;11;20;21;12;12;12;
900;26;28;15;14;13;13;15;23;22;23;13;14;
1000;28;19;30;15;27;13;14;14;14;14;26;27;
1100;31;34;18;29;16;16;16;16;28;15;15;30;
1200;33;37;33;32;30;16;30;17;30;18;30;18;
1300;62;25;22;20;18;18;17;33;18;19;19;20;
1400;64;25;39;19;35;20;20;35;35;20;21;37;
1500;65;50;42;40;22;20;38;38;38;28;23;40;
1600;46;51;25;24;23;22;40;40;41;24;42;25;
1700;50;52;27;25;23;24;23;33;41;43;25;45;
1800;49;49;27;27;25;44;25;26;45;26;26;48;
1900;72;36;25;29;49;48;48;48;25;45;50;50;
2000;94;61;56;28;28;50;27;29;51;52;53;54;
2100;38;36;59;31;54;51;28;29;51;31;33;56;
2200;65;41;35;32;31;30;54;56;56;54;56;34;
2300;64;75;40;60;34;32;32;31;58;59;33;61;
2400;116;69;38;62;59;33;36;61;33;62;37;37;
2500;69;77;37;37;64;62;62;37;38;37;37;38;
2600;73;36;72;38;64;63;64;64;35;38;67;70;
2700;119;57;41;71;34;36;37;39;68;47;41;71;
2800;74;38;42;40;40;69;69;40;71;73;74;75;
2900;80;87;45;75;45;69;39;41;41;42;77;77;
3000;123;90;81;43;76;75;39;76;76;43;43;44;
3100;146;96;46;45;44;76;42;43;41;44;47;48;
3200;91;97;48;40;43;40;44;78;46;46;83;83;
3300;137;98;88;85;50;45;46;46;46;49;87;86;
3400;94;92;89;88;48;49;86;46;48;87;52;51;
3500;95;60;92;92;85;86;43;88;48;90;92;92;
3600;95;61;54;52;50;48;89;88;90;52;90;92;
3700;156;63;98;64;93;51;54;91;50;54;95;98;
3800;173;66;56;99;94;95;53;53;94;98;54;58;
3900;181;119;107;101;55;96;53;94;55;57;58;59;
4000;96;66;60;105;86;54;99;98;55;102;60;61;
4100;106;124;61;60;101;102;55;57;58;61;60;59;
4200;123;124;113;105;58;58;99;63;105;106;64;108;
4300;192;127;66;108;110;107;61;76;59;110;112;117;
4400;118;138;117;64;112;108;61;60;108;64;62;118;
4500;127;57;66;109;62;60;64;112;113;72;70;120;
4600;119;123;68;119;115;114;65;65;65;118;116;123;
4700;120;124;113;66;117;60;114;117;66;115;70;126;
4800;133;140;124;118;67;65;119;120;119;120;70;128;
4900;124;142;124;125;67;121;85;120;121;119;125;75;
5000;130;135;129;130;69;68;68;122;124;126;74;117;
5100;245;86;74;72;71;123;128;90;72;128;70;136;
5200;240;88;74;129;126;123;72;129;127;130;134;137;
5300;142;89;78;134;134;72;72;129;73;132;75;139;
5400;146;88;136;121;134;71;73;134;75;134;82;137;
5500;246;86;79;75;71;74;134;132;76;77;141;77;
5600;196;91;141;146;137;139;77;78;136;142;143;146;
5700;237;162;137;141;142;136;138;140;81;141;84;147;
5800;220;173;85;149;145;85;141;77;145;145;149;151;
5900;162;177;82;83;84;146;81;146;150;80;94;90;
6000;284;154;145;154;150;74;147;145;148;87;156;161;
6100;159;156;162;89;86;145;150;151;154;87;161;163;
6200;268;191;163;87;86;83;150;154;132;158;161;91;
6300;149;174;97;162;154;149;86;88;157;157;165;165;
6400;117;103;159;161;163;155;88;89;157;162;166;97;
6500;308;191;172;92;164;159;156;159;88;161;167;172;
6600;283;177;94;92;91;89;162;162;93;168;96;170;
6700;280;120;175;94;162;162;164;161;164;167;171;177;
6800;299;170;180;177;167;161;162;166;94;96;97;179;
6900;242;203;153;181;175;93;168;91;94;112;178;182;
7000;351;115;126;175;173;173;166;96;170;97;183;186;
7100;202;117;171;99;176;98;177;171;175;183;104;141;
7200;319;116;180;98;97;95;97;100;177;178;104;190;
7300;350;212;107;183;156;178;179;176;98;183;134;189;
7400;186;117;112;189;183;181;173;130;184;184;193;192;
7500;337;206;189;191;185;182;186;184;187;182;195;108;
7600;322;231;194;109;191;102;188;183;185;191;198;203;
7700;199;194;137;190;110;103;188;190;188;194;199;207;
7800;383;217;113;202;108;108;196;192;193;200;202;206;
7900;198;237;213;190;201;106;195;193;114;114;203;209;
8000;388;237;215;200;202;111;184;200;146;204;205;210;
8100;351;244;203;110;200;199;198;195;108;202;211;214;
8200;334;246;116;212;202;109;199;201;202;208;117;212;
8300;216;241;159;209;111;110;200;206;205;212;122;122;
8400;362;129;124;115;116;205;204;203;202;210;125;125;
8500;215;142;220;216;115;115;114;115;211;218;217;221;
8600;219;254;225;212;212;114;118;120;201;121;217;228;
8700;411;244;216;221;117;213;147;210;215;219;196;231;
8800;228;225;125;218;224;218;120;119;219;130;222;232;
8900;237;246;208;218;216;215;217;217;186;125;137;136;
