N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;256;263;266;307;303;303;
200;455;533;502;623;618;619;
300;655;798;739;948;962;970;
400;807;1075;937;1264;1226;1260;
500;1033;1407;1041;1597;1594;1595;
600;1183;1515;1206;1918;1917;1933;
700;1300;1902;1407;2256;2205;2246;
800;1515;2161;1639;2593;2619;2604;
900;1829;2430;1696;2891;2785;2892;
1000;1839;2716;1957;3162;3179;3197;
1100;2082;3012;2124;3532;3505;3553;
1200;2182;3283;2330;3859;3820;3871;
1300;2331;3669;2482;4178;4142;4217;
1400;2397;3876;2612;4515;4472;4528;
1500;2874;3997;2819;4845;4798;4856;
1600;2977;4289;3073;5194;5156;5193;
1700;2970;4425;3149;5507;5331;5544;
1800;3166;5027;3331;5803;5621;5830;
1900;3404;5149;3400;6133;6072;6142;
2000;3488;5194;3560;6506;6506;6544;
2100;3508;5291;3674;6822;6753;6842;
2200;3733;5699;4159;7124;7048;7153;
2300;4066;6120;4064;7450;7412;7502;
2400;4366;6271;4343;7765;7786;7801;
2500;4512;6887;4507;8118;8073;8135;
2600;4812;7084;4447;8453;8349;8485;
2700;4599;7343;4930;8795;8771;8813;
2800;4855;7840;5213;9112;9095;9120;
2900;5333;7625;5298;9412;9420;9421;
3000;5073;7988;5266;9751;9725;9752;
3100;5812;8022;5324;10142;10202;10139;
3200;5458;8731;5679;10497;10405;10487;
3300;5919;8369;5761;10809;10911;10825;
3400;6088;8994;6109;11083;11165;11182;
3500;6074;9296;6469;11331;11357;11372;
3600;6518;9859;6826;11725;11733;11769;
3700;6498;9846;6663;12005;11936;11980;
3800;6825;10474;6820;12411;12314;12472;
3900;6917;10137;6886;12702;12712;12691;
4000;7086;11382;6954;13036;13092;13099;
4100;7046;11365;7250;13436;13363;13466;
4200;7040;10730;7112;13624;13563;13754;
4300;7001;12054;7693;14045;14123;14114;
4400;7592;12157;7678;14253;14168;14289;
4500;7892;11991;7957;14617;14533;14678;
4600;7946;11969;8465;14880;14734;14898;
4700;8932;12484;8364;15353;15113;15405;
4800;8612;13511;8585;15617;15538;15691;
4900;8198;12954;8547;15953;15853;15947;
5000;9174;12988;8782;16293;16332;16362;
5100;8893;13976;8938;16635;16476;16654;
5200;8730;13824;9021;16969;16932;17004;
5300;9123;14142;9317;17338;17074;17284;
5400;9992;14577;9728;17583;17387;17678;
5500;9909;14961;9197;17997;18099;18024;
5600;9046;15082;9599;18366;18209;18313;
5700;9430;16014;9799;18654;18687;18644;
5800;10247;15840;9653;18885;18907;18950;
5900;10568;16198;10340;19280;19392;19328;
6000;10158;16071;10359;19684;19581;19691;
6100;10206;16631;10550;19939;19923;19977;
6200;10420;17155;11266;20325;20154;20305;
6300;10794;16438;10799;20617;20528;20651;
6400;11300;17579;10882;20929;20877;20957;
6500;11204;17709;11286;21317;21334;21349;
6600;11931;17567;11319;21672;21840;21777;
6700;11683;17844;11399;22000;21992;22028;
6800;11104;18118;11582;22246;22276;22237;
6900;11307;18055;12215;22549;22182;22524;
7000;12474;18930;12037;22888;22712;22899;
7100;12357;18998;12396;23161;23218;23139;
7200;11887;19862;12644;23543;23644;23601;
7300;12154;19725;12444;23901;23995;23935;
7400;12612;19427;12328;24165;24067;24207;
7500;13328;20907;13817;24545;24516;24637;
7600;12439;19738;13500;24828;24888;24871;
7700;13345;20018;13831;25110;24839;25162;
7800;13264;21125;13156;25528;25401;25592;
7900;14296;20570;13510;25955;25880;25912;
8000;12816;21703;13703;26239;26237;26169;
8100;13762;22765;13848;26539;26643;26557;
8200;14071;22780;14110;26822;26860;26898;
8300;13960;22655;14589;27190;26714;27240;
8400;14280;22545;14147;27568;27678;27652;
8500;15581;22889;14761;27811;27943;27865;
8600;15334;22833;14757;28035;27863;28142;
8700;14921;24523;15122;28502;28567;28532;
8800;14741;23493;14964;28769;28705;28808;
8900;15411;23382;15153;29145;29286;29128;
9000;15249;23531;15553;29502;29495;29573;
9100;14765;23533;15472;29717;29583;29827;
9200;15055;24845;15908;30093;29731;30167;
9300;16074;26147;15905;30495;30505;30526;
9400;16273;24475;16562;30757;30835;30892;
9500;15393;24294;16396;31114;30858;31134;
9600;15725;24736;17278;31461;31414;31540;
9700;17255;26559;16933;31738;31669;31747;
9800;16113;26461;17186;32074;31851;32044;
9900;16606;26626;17638;32435;32522;32501;
10000;16768;27577;16654;32772;32577;32643;
