N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;85.673800;78.504777;74.759615;24.959968;59.245253;59.245253;
200;145.368497;154.696477;139.176147;39.051248;98.300560;76.824475;
300;257.204199;246.491379;202.785601;72.027772;128.600156;64.907627;
400;318.457218;321.322268;262.689931;81.473922;221.269067;87.800911;
500;384.386524;417.342785;270.573465;78.593893;196.624007;79.605276;
600;440.254472;507.611072;344.863741;95.509162;225.785296;107.549988;
700;494.422896;532.627450;335.569665;96.793595;281.074723;103.951912;
800;490.874729;644.324452;424.615120;117.944902;110.688753;124.811858;
900;538.273165;691.663936;412.853485;124.410610;422.016587;134.365174;
1000;697.182186;914.797245;570.275372;158.249803;282.665881;150.063320;
1100;770.632857;855.075435;508.638378;147.319381;380.610037;156.278597;
1200;680.407966;988.336987;618.363162;152.990196;421.841202;154.786950;
1300;921.376687;963.423064;667.717755;202.563570;516.553966;204.188638;
1400;902.838302;1100.876923;755.517703;178.885438;415.581520;172.194657;
1500;1042.225503;1098.014572;727.685372;193.090652;506.949702;201.335541;
1600;1032.371542;1194.378081;788.214438;253.960627;486.664155;208.851622;
1700;1010.503835;1202.091511;826.439350;213.119685;763.632110;196.473917;
1800;1298.345871;1394.451864;1001.537318;186.263255;808.950555;228.234529;
1900;1169.255746;1531.576965;804.078354;212.240430;562.045372;198.650447;
2000;1382.256127;1296.549652;955.501962;178.569314;479.199332;175.102827;
2100;1473.554885;1376.486832;978.836043;234.497335;627.445615;253.296269;
2200;1586.796143;1581.470518;1046.028680;244.554697;741.230059;201.134284;
2300;1854.900536;1699.849993;1056.026515;219.836303;572.097894;256.690475;
2400;1698.083331;1798.441270;1067.963014;287.605633;467.578870;314.116221;
2500;1629.341585;2081.694742;1213.790344;256.760589;731.688458;280.028570;
2600;1608.940645;1863.675133;1223.765092;287.153269;774.391374;266.520168;
2700;1564.668016;2303.151102;1260.996035;271.460863;661.162612;274.041968;
2800;1697.967903;2827.653267;1354.626517;310.124169;701.974359;297.240643;
2900;1908.739113;1938.466404;1231.333018;314.135321;554.639523;343.120970;
3000;1855.519604;2465.610878;1407.192240;330.625165;757.089823;375.289222;
3100;2230.600368;2033.836768;1282.301057;310.099984;304.709698;308.074666;
3200;2095.313342;2625.708285;1459.503340;277.571612;784.314988;295.240580;
3300;2023.301510;2474.247158;1316.439516;294.462222;305.034424;359.389761;
3400;2401.350870;2688.318620;1693.747620;250.461574;249.415316;226.106170;
3500;2340.090810;2731.573173;1816.118388;375.173293;787.739805;400.913956;
3600;2800.229991;2399.634347;1768.272321;326.088945;671.857872;305.589594;
3700;1959.396591;2591.706774;1844.646308;390.275544;924.580986;401.023690;
3800;2472.421485;3055.942408;1889.395406;241.159698;1088.809442;292.796858;
3900;2521.068821;2814.576700;1610.821219;382.924274;714.473932;415.929080;
4000;2951.420505;3085.589733;1702.529001;426.640364;755.145019;396.200707;
4100;2846.802241;2726.112800;1704.130570;360.471913;994.426468;330.230223;
4200;2397.559384;2693.796392;2008.855644;491.092659;1251.526668;425.389234;
4300;2592.022569;3453.379070;1860.188969;316.635437;306.241735;289.599724;
4400;2536.402176;3389.907226;2221.662666;453.072842;1099.809984;498.481695;
4500;3157.608114;3556.620165;2206.727215;448.747145;1105.372788;394.410953;
4600;2831.160363;3301.199479;2093.938633;513.581542;1346.132237;495.703540;
4700;3136.374180;3591.441633;2124.490763;368.876673;1535.074917;374.416880;
