N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;525;633;489;363;379;379;
200;1020;1061;1078;701;743;737;
300;1543;1532;1593;1135;1121;1108;
400;1845;1887;1812;1411;1457;1423;
500;2281;2752;1987;1789;1791;1803;
600;2746;2962;2403;2102;2186;2146;
700;3124;3152;2391;2450;2462;2388;
800;3171;4189;2648;2804;2828;2834;
900;3310;4553;2692;3132;3100;3107;
1000;4026;5531;4256;3441;3517;3436;
1100;4319;6177;3802;3811;3801;3822;
1200;4290;7035;5149;4095;4137;4145;
1300;5485;6611;4273;4548;4523;4565;
1400;5718;7242;6156;4776;4819;5095;
1500;6466;8119;5008;5214;5208;5196;
1600;6574;7844;6862;5512;5587;5517;
1700;5741;8527;5793;5801;5901;5822;
1800;6912;9138;7407;6143;6121;6073;
1900;7398;9632;6012;6568;6461;6507;
2000;8574;8892;6813;6860;6876;6843;
2100;10284;10500;6481;7164;7206;7219;
2200;10175;10887;8013;7588;7587;7445;
2300;14994;10384;7473;7798;7875;7848;
2400;13765;12034;7611;8156;8232;8241;
2500;9999;11519;8764;8637;8522;8749;
2600;9555;12659;9125;8862;8882;8888;
2700;10170;14543;9993;9278;9233;9242;
2800;11008;18611;9167;9544;9592;9581;
2900;10478;13754;8355;9932;9862;9914;
3000;10975;15489;9514;10298;10450;10365;
3100;14813;16292;9006;10574;10615;10682;
3200;11783;21339;11277;10952;10941;10933;
3300;12486;17404;8955;11238;11316;11362;
3400;15061;17688;10652;11462;11546;11621;
3500;15600;16675;11911;11790;11901;11874;
3600;17088;16773;12587;12172;12386;12196;
3700;12425;18227;13178;12455;12560;12673;
3800;14155;19618;12653;12826;13030;13013;
3900;16645;19782;10476;13353;13417;13381;
4000;18016;22308;12255;13692;13657;13672;
4100;17744;21002;13931;14017;14072;14038;
4200;14885;18594;14081;14287;14390;14345;
4300;19184;26659;13499;14468;14609;14573;
4400;16722;22378;15281;14828;14904;15015;
4500;19287;20547;13986;15177;15271;15181;
4600;19288;20134;12347;15440;15581;15531;
4700;17765;24516;18713;15880;15996;15908;
4800;20654;24755;17402;16100;16189;16191;
4900;16803;23639;16771;16528;16578;16524;
5000;19661;23304;15645;16857;16945;16871;
5100;24418;28644;15406;17189;17417;17309;
5200;22871;23020;20308;17493;17542;17735;
5300;21953;28969;15302;17949;17952;18022;
5400;22270;34120;15717;18223;18344;18304;
5500;23593;27143;18695;18562;18608;18682;
5600;22238;31139;16072;18962;18895;18925;
5700;21308;30403;17870;19295;19313;19260;
5800;17864;33111;25025;19664;19777;19576;
5900;26469;37675;17728;20091;20195;20083;
6000;24078;31629;16310;20386;20446;20411;
6100;23980;36277;19000;20704;20878;20684;
6200;27742;34439;18746;21008;21094;21064;
6300;29859;34021;21280;21331;21447;21405;
6400;24241;40206;27873;21651;21764;21671;
6500;21642;38850;20678;21893;22152;21964;
6600;26839;28684;23245;22398;22400;22444;
6700;27335;31858;21942;22607;22604;22740;
6800;26839;30812;18972;23101;22918;22891;
6900;24471;33818;21294;23253;23358;23331;
7000;34161;35575;20656;23609;23582;23657;
7100;31198;39709;23530;24028;23973;23875;
7200;21570;37344;21702;24058;24275;24289;
7300;28630;43160;23209;24576;24697;24703;
7400;35476;38403;21341;24993;25011;24937;
7500;27188;38584;24970;25292;25310;25338;
7600;25367;40963;20766;25607;25683;25728;
7700;26897;35168;22629;25954;25896;26020;
7800;32272;37149;21791;26367;26323;26426;
7900;28929;42037;22546;26671;26694;26745;
8000;27619;41028;27455;26973;27102;27088;
8100;29392;47682;23157;27397;27358;27440;
8200;36894;44095;23637;27793;27848;27715;
8300;32925;38998;36149;28045;28199;28049;
8400;31873;38159;26483;28374;28461;28291;
8500;45684;41360;26426;28683;28774;28615;
8600;37030;45678;26300;28945;29072;28942;
8700;29498;45365;24689;29232;29420;29419;
8800;45852;41976;32347;29375;29560;29761;
8900;34730;40280;26695;29997;30297;29987;
9000;42753;41948;26273;30286;30458;30470;
9100;37253;46160;28598;30525;30697;30597;
9200;29778;43458;27006;30865;30927;31077;
9300;35424;58122;26414;31258;31435;31477;
9400;46113;50483;28984;31498;31709;31814;
9500;38962;41010;29896;31789;31949;32037;
9600;30985;50515;33297;32218;32344;32322;
9700;38753;56200;26992;32676;32780;32768;
9800;40589;48047;28058;32991;33040;32905;
9900;35307;52432;33660;33343;33306;33404;
10000;43903;47778;28010;33697;33683;33749;
