N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;101;117;101;234;132;132;
200;201;226;201;523;255;388;
300;333;388;328;733;384;739;
400;433;401;480;1007;535;1057;
500;501;677;537;1371;666;1362;
600;674;611;636;1608;800;1634;
700;751;1123;817;1957;1102;1943;
800;860;1018;817;2295;2313;2021;
900;933;1280;901;2443;1414;2422;
1000;1036;1111;1006;2650;1321;2807;
1100;1133;1355;1274;3056;1708;3127;
1200;1343;1344;1269;3439;1600;3382;
1300;1333;2033;1378;3540;1767;3446;
1400;1433;1694;1518;3899;2284;4029;
1500;1533;1968;1589;4219;2396;4243;
1600;1653;2517;1828;4246;2561;4385;
1700;1751;2588;1801;4638;2780;4763;
1800;1887;1935;1941;5143;2837;4911;
1900;1975;2496;1979;5501;3049;5358;
2000;2040;2728;2140;5916;3308;5844;
2100;2133;2201;2154;6099;3344;5852;
2200;2233;2873;2311;6205;3590;6401;
2300;2365;2437;2445;6705;3735;6369;
2400;2590;2964;2587;6714;4042;6518;
2500;2573;2747;2557;7354;4169;7112;
2600;2669;3372;2706;7078;4148;7419;
2700;2701;3474;2904;7461;4396;7869;
2800;2843;3186;2991;7953;4581;7805;
2900;2998;2901;3035;8186;4859;8432;
3000;3064;3381;3041;8561;4945;8557;
3100;3254;3729;3374;9072;8921;9218;
3200;3252;4964;3358;9462;5155;9455;
3300;3448;3772;3486;9616;9446;9323;
3400;3468;4079;3459;10230;10160;10230;
3500;3620;5275;3609;10194;4402;9558;
3600;3784;6259;3958;10123;5958;10623;
3700;3794;5002;3869;10511;5999;10382;
3800;3883;5302;3843;11392;6285;11257;
3900;4019;4418;4112;11385;6650;10997;
4000;4086;4520;4026;11288;6668;11476;
4100;4133;6432;4388;11340;6835;11821;
4200;4288;6593;4246;11796;6773;12243;
4300;4333;6588;4525;12754;12750;12710;
4400;4467;6907;4579;12835;7258;12434;
4500;4594;5826;4657;12692;7380;13288;
4600;4742;5579;4694;12996;7581;13389;
4700;4862;6629;4701;13882;7746;13680;
4800;5024;7314;4950;14208;7975;13988;
4900;5105;7423;5063;14481;7846;14349;
5000;5044;6750;5103;13919;8240;14574;
5100;5140;5981;5187;14375;8331;14190;
5200;5233;6762;5262;15525;8457;14816;
5300;5394;7920;5599;15431;7051;15129;
5400;5533;6400;5493;15805;8860;15136;
5500;5594;7184;5762;15962;15885;15717;
5600;5677;7989;5682;16631;7450;16618;
5700;5844;6890;5908;16550;16661;16633;
5800;6016;8045;5955;16273;9780;16914;
5900;5999;8755;6080;17234;17505;17315;
6000;6127;7458;6445;17234;9953;17434;
6100;6133;7980;6285;17347;10010;17140;
6200;6342;7191;6864;17482;10211;17279;
6300;6432;6695;6436;18683;10313;18585;
6400;6645;6401;6497;18404;10286;18810;
6500;6631;10258;6807;19446;10728;18914;
6600;6691;7737;6888;19734;19831;19597;
6700;6790;9071;6822;19693;19558;19905;
6800;6931;9365;7059;19819;19997;20017;
6900;7008;8809;7370;19994;11236;20133;
7000;7065;8067;7276;20614;11565;20549;
7100;7133;7643;7327;20359;20519;20581;
7200;7233;9151;7459;21360;21098;21350;
7300;7534;8477;7590;22026;22743;22249;
7400;7442;11464;7546;21536;12100;21346;
7500;7724;9656;7798;21996;12392;21964;
7600;7659;8030;7818;22110;22505;22135;
7700;7817;8936;7748;21997;12448;21493;
7800;7918;10599;7872;22810;12857;21870;
7900;8027;10037;8192;23031;13128;23303;
8000;8119;10248;8087;23638;22803;22770;
8100;8221;12692;8593;23886;23490;23751;
8200;8308;9419;8266;23864;13637;22752;
8300;8407;12806;8757;24697;13507;24267;
8400;8558;9892;8593;24912;25404;25250;
8500;8586;11474;8721;24395;24909;24719;
8600;8674;11554;8904;25425;14261;25237;
8700;8813;10951;9003;25493;26031;25158;
8800;8941;13039;8931;25743;14612;26274;
8900;9015;10568;9210;25676;25628;25761;
9000;9069;12253;9239;26659;14766;26922;
9100;9173;9101;9319;26665;15096;26991;
9200;9333;14277;9442;26864;15053;27210;
9300;9415;10617;9504;27500;27331;27239;
9400;9501;10185;9477;27671;27988;27863;
9500;9618;12261;9613;27342;15582;28199;
9600;9718;11484;10033;27183;15934;28188;
9700;9759;10931;9968;28370;15133;28951;
9800;10046;11203;10412;28761;16091;29242;
9900;10040;14182;10003;29250;28621;29179;
10000;10141;15765;10129;29465;16333;28043;
