N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;230;240;225;175;174;174;
200;386;486;435;344;345;345;
300;542;699;646;516;525;530;
400;675;988;803;686;668;688;
500;881;1248;856;863;864;862;
600;977;1343;1030;1029;1029;1039;
700;1073;1729;1171;1202;1175;1198;
800;1265;1932;1377;1386;1404;1398;
900;1537;2161;1459;1539;1482;1540;
1000;1483;2454;1648;1676;1691;1697;
1100;1723;2716;1801;1874;1859;1887;
1200;1839;3009;1947;2038;2020;2048;
1300;1943;3294;2067;2198;2180;2224;
1400;1848;3410;2128;2369;2346;2377;
1500;2374;3669;2341;2544;2524;2551;
1600;2410;3833;2558;2737;2720;2737;
1700;2457;3971;2590;2896;2804;2918;
1800;2402;4667;2746;3035;2942;3055;
1900;2735;4551;2737;3209;3177;3216;
2000;2813;4641;2942;3416;3423;3440;
2100;2688;4860;2989;3586;3550;3594;
2200;2973;5238;3324;3726;3690;3745;
2300;3286;5525;3417;3888;3871;3920;
2400;3708;5445;3527;4048;4063;4070;
2500;3603;6108;3692;4231;4214;4246;
2600;4025;6128;3657;4406;4352;4424;
2700;3496;6656;4026;4576;4565;4590;
2800;3754;6938;4237;4739;4731;4749;
2900;4507;6782;4170;4892;4898;4900;
3000;4019;7398;4288;5072;5056;5071;
3100;4823;7191;4360;5279;5315;5278;
3200;4404;8014;4612;5462;5414;5462;
3300;4921;7252;4636;5614;5674;5627;
3400;4675;8106;5030;5748;5794;5804;
3500;4865;8336;5174;5880;5899;5907;
3600;5430;8833;5545;6081;6084;6099;
3700;5287;8843;5430;6219;6188;6216;
3800;5868;9377;5717;6426;6373;6464;
3900;5379;8999;5595;6582;6591;6577;
4000;5938;10280;5715;6768;6809;6806;
4100;5492;10251;5895;6983;6951;7001;
4200;5590;9550;5776;7072;7045;7146;
4300;5770;10801;6197;7289;7322;7324;
4400;6408;10857;6271;7381;7337;7400;
4500;6507;10585;6608;7565;7518;7594;
4600;6725;10868;6777;7682;7613;7697;
4700;7668;10950;6681;7940;7817;7970;
4800;7251;11829;6933;8059;8020;8104;
4900;6233;11397;6771;8245;8189;8239;
5000;7672;11577;7142;8426;8454;8469;
5100;7032;12551;7292;8601;8523;8610;
5200;7002;12313;7355;8768;8753;8792;
5300;7309;12718;7533;8962;8812;8926;
5400;8164;13302;8005;9073;8967;9126;
5500;8599;13576;7527;9295;9351;9314;
5600;6785;13753;7704;9477;9399;9451;
5700;7789;14658;7929;9621;9632;9611;
5800;8943;14092;7709;9725;9738;9766;
5900;8444;14318;8206;9944;10006;9969;
6000;8740;14154;8587;10155;10105;10172;
6100;7991;15392;8765;10284;10278;10309;
6200;8242;15535;9113;10489;10393;10475;
6300;8571;14692;8794;10624;10578;10649;
6400;9137;15997;8856;10782;10764;10797;
6500;8761;15731;9151;10976;10990;10988;
6600;9676;15503;9119;11161;11250;11216;
6700;8781;16545;9095;11326;11317;11341;
6800;9040;16286;9093;11451;11466;11453;
6900;8665;16381;9694;11601;11415;11588;
7000;10204;16852;9974;11770;11682;11773;
7100;10556;16400;9886;11911;11938;11893;
7200;9782;17838;9871;12106;12150;12125;
7300;10043;17821;9993;12288;12337;12307;
7400;10339;17729;10072;12420;12366;12441;
7500;10707;18863;10966;12626;12604;12665;
7600;9469;17856;10793;12778;12803;12793;
7700;10539;17448;10892;12911;12779;12943;
7800;10719;19605;10502;13131;13061;13160;
7900;11879;18251;11001;13369;13320;13339;
8000;10143;19457;11381;13519;13522;13484;
8100;10717;20489;11013;13670;13733;13680;
8200;11504;20320;11363;13824;13835;13852;
8300;11030;20482;11785;14002;13756;14028;
8400;11610;19911;11380;14192;14249;14235;
8500;13181;20897;11881;14311;14376;14348;
8600;11951;20715;12061;14405;14318;14469;
8700;12341;21705;12160;14650;14684;14662;
8800;11832;21530;12053;14774;14734;14790;
8900;12911;20250;12217;14974;15047;14971;
9000;12405;20630;12550;15148;15138;15182;
9100;11364;21693;12539;15246;15184;15303;
9200;11994;22313;12735;15438;15244;15472;
9300;12808;23326;12874;15645;15644;15666;
9400;13983;21327;13350;15775;15809;15846;
9500;11712;21226;13349;15966;15834;15980;
9600;12901;21817;13770;16157;16129;16186;
9700;13602;23498;13666;16283;16251;16291;
9800;13035;23329;13731;16462;16349;16432;
9900;12998;23759;14040;16660;16699;16687;
10000;13697;24783;13429;16834;16731;16759;
