N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;95.697440;78.307088;76.830983;17.578396;36.728735;36.728735;
200;162.114157;164.274161;142.021125;26.664583;58.762233;47.518417;
300;285.496060;235.796522;200.312256;49.939964;75.967098;39.585351;
400;358.312713;391.670780;263.302108;56.745044;128.576825;55.632724;
500;498.726378;402.677290;268.065291;52.943366;111.332834;47.191101;
600;556.451256;515.053395;301.991722;65.145990;128.763349;64.428255;
700;617.029173;606.641575;298.802610;62.976186;156.687587;60.959003;
800;675.624156;678.439386;417.342785;79.132800;69.821200;75.538070;
900;678.114297;716.407705;425.868524;76.700717;230.475595;75.306042;
1000;878.080292;857.795430;480.657882;102.376755;160.446253;88.729927;
1100;986.750728;879.153001;520.350843;95.005263;211.539594;92.330927;
1200;929.265839;1023.994141;545.284330;102.215459;233.010729;86.017440;
1300;1156.485625;1047.157104;545.257737;119.787312;281.218776;119.323091;
1400;1237.166521;1102.273106;585.795186;110.430974;225.856149;100.039992;
1500;1373.360841;1260.469754;659.742374;118.482066;274.621558;115.178123;
1600;1320.503313;1190.475535;738.870083;161.062100;271.296885;121.848266;
1700;1463.138066;1284.892992;722.346870;130.249760;411.748710;113.441615;
1800;1602.390714;1491.093894;870.782981;112.307613;433.085442;129.514478;
1900;1618.121751;1445.953665;579.538610;128.701204;304.074004;113.291659;
2000;1888.383700;1417.106912;866.956746;116.601887;259.293270;99.704564;
2100;1877.485286;1532.953033;749.522515;140.925512;340.197002;138.278704;
2200;2060.754959;1794.922282;893.726468;151.551971;400.855336;123.721461;
2300;2560.605788;1758.981239;1027.723212;131.609270;309.557749;146.181394;
2400;2131.205293;1774.339595;1042.189522;174.668257;254.072824;172.185946;
2500;2135.829815;2085.317722;1025.687574;151.172087;390.138437;156.655673;
2600;2040.444804;2013.097613;930.884526;170.129363;412.417264;143.282937;
2700;2233.484497;2386.478787;1117.163820;170.146995;352.518085;151.340675;
2800;2317.259373;2684.067622;1159.462375;188.902091;376.583324;167.412664;
2900;2790.032975;2193.479884;900.493753;180.518697;299.918322;187.733854;
3000;2407.065849;2765.197823;1128.862259;195.803473;407.399067;198.335574;
3100;3059.114251;2205.479993;989.649938;182.326630;174.902830;167.433569;
3200;2658.934561;2664.613105;1147.410127;164.824149;417.539220;160.474297;
3300;2786.914423;2429.719120;1111.790898;176.000000;180.778870;203.068954;
3400;3194.244042;2913.937371;1334.216624;149.933319;143.010489;132.879645;
3500;3022.229475;2985.571637;1309.628955;221.878345;428.142500;224.102655;
3600;3496.634382;2604.641818;1491.676909;188.573593;363.994505;167.385782;
3700;2644.504490;2695.479364;1482.907617;223.850396;488.347213;217.000000;
3800;3393.630357;3058.918600;1671.168753;149.251466;576.668882;163.929863;
3900;3259.832511;3056.541837;1307.699507;220.651309;377.626800;223.282332;
4000;4032.695005;3381.752356;1589.143165;254.344255;411.757210;220.571984;
4100;3707.882684;3068.049054;1387.710344;215.476217;529.671596;185.361808;
4200;3203.110207;2755.230299;1551.184064;285.921318;665.350284;234.119628;
4300;3249.003232;3831.122029;1391.827935;195.220388;185.094570;172.493478;
4400;3563.542479;3598.556377;1555.409592;258.621345;584.541701;273.894140;
4500;4040.257789;3536.041714;1870.509556;253.604022;583.842445;216.192044;
4600;3774.124269;3728.308195;1792.335627;282.626963;709.605524;274.175127;
4700;4116.893610;3779.398365;1691.095503;214.254522;805.748720;204.545838;
4800;3983.394407;4097.286663;1789.511665;196.855277;590.212674;176.017045;
4900;3995.311753;3429.950583;1609.225590;239.486952;641.128692;245.403749;
5000;4521.743911;4029.614622;1695.853178;279.714140;496.723263;241.754007;
5100;4182.307378;4237.725215;1954.768528;289.302610;802.481775;291.487564;
5200;4380.509331;4202.746721;1854.216007;237.293068;518.287565;265.113183;
5300;4498.226873;4627.667555;1698.394536;274.561469;876.026255;298.656994;
5400;4646.666978;4753.550778;2238.742728;262.265133;823.714149;289.746441;
5500;4669.053437;4644.507294;1658.746213;235.991525;212.304027;232.787457;
5600;4271.013814;4787.814533;2182.737960;202.627737;760.466962;239.776980;
5700;4418.230981;5751.393483;1715.302889;228.914831;227.736690;254.947053;
5800;4665.188421;5200.541799;1825.541290;333.719942;555.062159;290.520223;
5900;5671.374437;4362.657218;2188.068326;329.323549;285.870600;262.937255;
6000;5320.741396;4249.767758;2387.101799;284.149608;754.810572;256.711901;
6100;4801.521842;5481.228329;2377.610565;353.778179;608.692862;317.546847;
6200;5139.652712;5559.894064;2517.024632;315.928789;794.217225;314.602924;
6300;5740.427336;5556.680394;2124.555012;276.788728;809.704267;295.093206;
6400;5299.809148;5216.251240;2353.991504;339.583569;834.835912;342.029239;
6500;4926.271511;5629.650522;2460.561928;275.359765;612.388765;302.532643;
6600;6500.461291;4433.494558;2159.126907;238.000000;225.195471;241.234326;
6700;5237.613197;5905.664738;2014.937468;290.977662;292.272133;260.165332;
6800;5529.107342;5611.595317;1987.470755;302.775494;299.716533;303.357874;
6900;5549.039196;5940.535666;2358.201645;336.037200;1184.069255;354.845037;
7000;6005.846235;5054.128016;2520.320019;291.006873;878.135525;304.231820;
7100;5803.974845;5738.362136;2527.035219;360.398391;351.397211;364.448899;
7200;5328.997561;5825.806725;2465.860904;266.990637;280.736531;285.548595;
7300;6288.671481;5695.138892;2439.919056;260.353606;227.391732;235.701082;
7400;6823.473456;5873.033884;2393.052653;357.407331;932.696092;337.843159;
7500;6704.489093;6218.245653;2847.184926;324.650581;706.569883;280.720502;
7600;6346.292540;5441.265386;2813.410919;407.052822;375.290554;380.628428;
7700;6501.377854;5347.454161;2356.988545;456.816156;1167.075405;408.383398;
7800;6099.418087;6867.543520;2244.671691;375.249250;981.732143;360.952906;
7900;6241.075308;6256.446995;2739.478783;345.679042;749.288329;344.811543;
8000;5833.311238;7015.752276;3433.497779;382.661731;431.495075;413.688288;
8100;6828.563465;6532.257726;2795.606553;409.721857;435.483639;387.058135;
8200;7119.795292;6495.080985;2687.408231;458.225927;822.767282;435.193061;
8300;6893.214417;6913.540772;3065.064600;377.605614;1444.036703;371.040429;
8400;7559.978042;6324.003637;2708.565857;320.176514;278.406178;263.324894;
8500;8508.650892;7154.233712;2857.170103;404.608453;321.062299;381.511468;
8600;7742.305341;7347.268948;3226.446652;416.533312;1100.939145;395.781505;
