N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;519;597;454;225;224;224;
200;866;912;987;389;419;417;
300;1519;1375;1317;672;662;642;
400;1655;2286;1618;787;829;802;
500;2287;2330;1895;988;975;968;
600;2800;2915;1852;1173;1205;1182;
700;3365;3386;2469;1338;1352;1297;
800;3081;3997;2641;1539;1560;1530;
900;3382;4545;2844;1715;1706;1658;
1000;3952;5162;3532;1872;1889;1828;
1100;4214;4780;4090;2092;2074;2021;
1200;4369;6472;3636;2225;2245;2193;
1300;5288;7240;3579;2460;2430;2408;
1400;5668;6673;4074;2535;2558;2657;
1500;5729;8234;4423;2826;2781;2763;
1600;6027;7191;6255;2972;3024;2925;
1700;5891;7185;5053;3109;3152;3114;
1800;6719;8071;6903;3241;3243;3215;
1900;7107;9797;5438;3519;3425;3453;
2000;7730;9559;6814;3661;3656;3648;
2100;8576;9293;5623;3847;3831;3807;
2200;9226;10936;5757;4054;3984;3914;
2300;16249;9516;8061;4134;4148;4108;
2400;13938;11311;8183;4326;4364;4320;
2500;9296;12030;7924;4604;4494;4535;
2600;8478;14311;7840;4659;4657;4659;
2700;10052;13159;8565;4960;4842;4876;
2800;9756;14899;9401;5056;5034;4980;
2900;12212;13932;6480;5268;5195;5159;
3000;10336;15140;8206;5412;5440;5398;
3100;15990;12576;9295;5568;5583;5596;
3200;11363;19389;10039;5753;5711;5733;
3300;11331;14191;9127;5913;5960;5933;
3400;14758;17362;10488;5993;6051;6034;
3500;13867;16439;9053;6176;6248;6178;
3600;17683;17396;12539;6392;6466;6315;
3700;12165;15875;10561;6533;6541;6542;
3800;14197;19391;11253;6718;6809;6731;
3900;16652;16553;10889;7020;6978;6910;
4000;20542;23054;11696;7253;7175;7149;
4100;18723;19029;11808;7371;7334;7272;
4200;15966;16642;11775;7547;7541;7490;
4300;16493;28245;10137;7562;7637;7575;
4400;16627;23921;11383;7786;7833;7832;
4500;20382;20333;13742;7952;7920;7918;
4600;18765;22114;14939;8032;8101;8059;
4700;18288;24929;16416;8318;8307;8216;
4800;17586;24778;13024;8446;8439;8349;
4900;17107;19859;12300;8633;8611;8619;
5000;18564;25933;14516;8791;8824;8816;
5100;22523;26066;13567;8961;9036;8998;
5200;22529;25705;13789;9143;9148;9180;
5300;19410;30366;13427;9391;9329;9301;
5400;21317;32519;15274;9475;9528;9494;
5500;22669;27867;14801;9691;9702;9683;
5600;19416;29622;18198;9878;9792;9776;
5700;19925;29170;14811;10052;10068;9967;
5800;19208;30434;16489;10215;10349;10129;
5900;24704;29468;18110;10505;10596;10435;
6000;23084;26225;19499;10620;10602;10489;
6100;23207;36158;19775;10835;10857;10720;
6200;26733;33457;19378;10960;10952;10917;
6300;29144;31921;15242;11092;11166;11074;
6400;22281;37647;19767;11242;11302;11239;
6500;20384;31507;19618;11387;11460;11384;
6600;28067;27138;16546;11586;11614;11531;
6700;26135;32858;17477;11780;11843;11754;
6800;23828;29656;16148;11969;11863;11828;
6900;23302;37789;18458;12033;12089;11969;
7000;30493;30384;20928;12218;12212;12223;
7100;27353;30573;22383;12452;12381;12283;
7200;22611;38328;18609;12468;12484;12512;
7300;25220;34444;17771;12725;12818;12754;
7400;38223;40406;17446;12880;12991;12918;
7500;26682;38628;21563;13119;13108;13011;
7600;25243;32158;25065;13327;13321;13260;
7700;28326;31562;16618;13456;13383;13395;
7800;30024;47000;16355;13728;13699;13667;
7900;27289;49469;22180;13879;13823;13795;
8000;27376;42373;31409;14042;14016;14035;
8100;26217;35190;26360;14237;14197;14138;
8200;35291;42705;19968;14400;14482;14332;
8300;33661;42297;23170;14554;14533;14445;
8400;32745;37839;20911;14688;14773;14612;
8500;49199;45872;22582;14933;14874;14782;
8600;35372;45087;24043;15014;14998;14910;
8700;33718;42734;22381;15149;15177;15141;
8800;45690;42152;26320;15198;15230;15141;
8900;36326;44534;25880;15531;15628;15393;
9000;33784;39602;20819;15701;15719;15690;
9100;31234;45067;25659;15791;15864;15826;
9200;30700;39560;20117;15944;16005;15959;
9300;36892;56825;28546;16129;16067;16103;
9400;39587;42436;30799;16289;16324;16249;
9500;37902;47554;33408;16417;16435;16457;
9600;34101;44895;30260;16675;16717;16632;
9700;34849;52520;24204;16869;16908;16793;
9800;38949;46016;23081;17136;17035;16891;
9900;32736;53348;32420;17219;17174;17116;
10000;49511;50712;24019;17454;17301;17381;
