N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;95;102;51;181;72;72;
200;194;202;151;362;177;329;
300;265;350;313;525;197;512;
400;98;201;479;761;356;711;
500;326;650;531;836;456;877;
600;516;602;628;970;560;1053;
700;601;1068;763;1165;1094;1120;
800;118;992;802;1400;1362;1449;
900;266;1236;851;1596;717;1548;
1000;1034;1071;1002;1608;667;1689;
1100;291;1321;1221;1909;1667;1930;
1200;629;1333;1267;2079;1088;1933;
1300;182;1811;1364;2285;1128;2299;
1400;285;1524;1488;2382;2246;2274;
1500;492;1819;1542;2537;2306;2589;
1600;1162;2135;1720;2779;1313;2754;
1700;395;2434;1729;2953;1455;3078;
1800;344;1822;1938;3049;2791;3100;
1900;1375;2208;1955;2936;2922;2980;
2000;594;2415;2038;3511;1707;3417;
2100;1649;2153;2149;3327;1824;3532;
2200;1430;2616;2285;3708;3545;3745;
2300;1793;2381;2410;3890;3688;3906;
2400;1411;2742;2509;4085;3929;4069;
2500;913;2664;2528;4134;4130;4080;
2600;1891;3017;2698;4471;4085;4321;
2700;796;3424;2752;4509;4195;4455;
2800;2696;3050;2971;4104;4023;4295;
2900;2092;1451;2970;5075;4847;5097;
3000;763;3301;3021;5313;4802;5174;
3100;664;3451;3314;5310;5379;5056;
3200;2554;4594;3258;5410;5148;5504;
3300;3075;3657;3414;5711;5831;5778;
3400;1049;3896;3429;5796;5792;5718;
3500;3055;4446;3579;6033;2209;6057;
3600;1933;5577;3727;6051;5541;6155;
3700;1672;4288;3840;6220;5747;6189;
3800;3035;4713;3834;6646;3210;6565;
3900;1164;4398;4110;6773;6512;6551;
4000;3082;4250;4010;6963;6265;6932;
4100;3201;5922;4271;6738;6582;7094;
4200;3199;6452;4232;7211;6301;7162;
4300;4316;6563;4454;7562;7505;7304;
4400;1692;6503;4555;7295;7236;7667;
4500;679;5751;4624;7732;7364;7618;
4600;3391;5491;4641;7463;3974;7963;
4700;4258;5695;4651;8118;7669;8036;
4800;3582;6766;4887;8172;7960;8105;
4900;1992;5677;5010;8263;7810;8293;
5000;852;6051;5092;8359;8201;8351;
5100;610;5915;5129;8707;7224;8800;
5200;1664;5954;5202;8945;8155;8953;
5300;3972;7735;5550;8671;4468;8734;
5400;2843;5976;5519;9156;8843;9232;
5500;1980;6357;5707;9003;9529;9109;
5600;2284;5948;5640;9710;3778;9083;
5700;3869;6267;5830;9804;9785;9808;
5800;4016;7324;5954;9513;9561;10082;
5900;1297;8118;6063;10114;9913;10333;
6000;2161;6792;6195;10620;8977;10256;
6100;5458;7790;6211;10654;9978;10408;
6200;5473;6731;6772;9404;9520;9565;
6300;2902;6595;6371;10128;5263;10414;
6400;3251;3201;6450;10827;9724;10759;
6500;4375;9192;6723;10966;10559;11128;
6600;2353;7620;6872;11243;11182;11204;
6700;4477;7723;6789;11566;11459;11593;
6800;544;9084;7046;11650;11584;11777;
6900;4922;8448;7000;11715;11104;11478;
7000;1510;7722;7218;11216;11317;11818;
7100;6277;7306;7248;12133;12043;12023;
7200;4767;8665;7308;12262;12122;12317;
7300;458;7890;7407;12286;12578;12378;
7400;288;9309;7516;12216;11102;12593;
7500;2421;9349;7697;12581;12186;12796;
7600;2595;7888;7762;12905;13030;12960;
7700;4401;8817;7729;13054;6552;13195;
7800;5691;9914;7837;13428;12263;13235;
7900;2169;9345;8154;13530;11828;13451;
8000;2440;9759;8051;13968;13396;13461;
8100;3863;9319;8411;14050;14165;13717;
8200;7160;9411;8237;14134;13549;14224;
8300;6421;11988;8673;14369;13465;14120;
8400;3565;9074;8532;14248;14041;14334;
8500;6522;10208;8627;14261;14491;14480;
8600;5731;11200;8874;14719;14045;14701;
8700;7212;10186;8977;15123;14866;14800;
8800;1749;10843;8896;14653;14538;14911;
8900;4343;9520;9149;15096;15083;15209;
9000;2979;11262;9133;14710;14747;15228;
9100;7451;4551;9211;15418;15053;15067;
9200;1676;11771;9338;15836;14625;15273;
9300;3955;9922;9418;15523;15670;15483;
9400;8826;9528;9449;15935;15303;16108;
9500;7123;11393;9557;16295;15201;16187;
9600;7727;10451;9997;16399;15744;16033;
9700;3685;10410;9842;16501;7649;16392;
9800;530;11189;9981;16620;16013;16248;
9900;6382;12910;9968;16686;16920;16725;
10000;3123;11486;10104;16316;15324;17070;
