N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;255;261;268;310;307;307;
200;453;536;501;625;626;630;
300;616;802;668;957;960;972;
400;804;1049;858;1278;1253;1283;
500;944;1311;1025;1579;1595;1586;
600;1147;1605;1217;1925;1966;1957;
700;1345;1818;1540;2250;2155;2266;
800;1440;2238;1514;2599;2610;2632;
900;1675;2415;1806;2880;2917;2915;
1000;1849;2726;1923;3205;3168;3231;
1100;2058;2886;2164;3553;3569;3579;
1200;2068;3297;2252;3882;3806;3921;
1300;2504;3518;2338;4205;4218;4215;
1400;2353;3700;2641;4551;4478;4549;
1500;2740;3873;2884;4830;4701;4841;
1600;2965;4376;3064;5235;5170;5265;
1700;3175;4565;3190;5538;5572;5571;
1800;3341;4659;3482;5857;5747;5860;
1900;3307;5122;3528;6090;6102;6143;
2000;3482;5269;3533;6480;6446;6512;
2100;3797;5677;3904;6854;6827;6853;
2200;4124;5820;3941;7123;7131;7169;
2300;4143;6054;4288;7416;7389;7460;
2400;4094;6328;4490;7821;7791;7883;
2500;4671;6774;4455;8080;7917;8121;
2600;4612;6872;4885;8453;8425;8480;
2700;4547;7316;5001;8778;8626;8829;
2800;4999;7564;5108;9144;9119;9115;
2900;5295;7801;5202;9439;9516;9485;
3000;5290;7940;5465;9736;9673;9794;
3100;5292;8203;5240;10122;10118;10116;
3200;6012;8491;5855;10453;10366;10462;
3300;5979;9216;5952;10781;10810;10845;
3400;5862;8838;6071;11138;11075;11141;
3500;6055;9147;6168;11377;11396;11391;
3600;6591;9761;6323;11685;11637;11753;
3700;6609;9886;6531;12040;11988;12015;
3800;7057;9970;6909;12410;12142;12411;
3900;6665;10888;7146;12701;12351;12711;
4000;6687;10196;7017;13060;13132;13048;
4100;7554;11301;7363;13411;13456;13439;
4200;7315;11486;7313;13772;13853;13768;
4300;7765;12097;7498;14079;14051;14096;
4400;8207;11638;7827;14296;14206;14343;
4500;7750;11991;7798;14689;14668;14671;
4600;7675;11877;8196;14942;14847;14999;
4700;8365;12963;8184;15331;15194;15378;
4800;8747;12605;8233;15554;15530;15622;
4900;8592;12871;8521;16030;15657;16014;
5000;8764;13355;8567;16319;16167;16362;
5100;8609;13474;9024;16583;16488;16657;
5200;9530;13803;9412;17019;16886;17049;
5300;8908;14547;9139;17368;17427;17314;
5400;8662;15369;9286;17654;17526;17639;
5500;9602;14741;9282;18052;17497;18030;
5600;9094;14988;10211;18273;18113;18303;
5700;9909;15533;9538;18601;18501;18718;
5800;9339;15149;10094;18964;18845;18952;
5900;10186;15996;10185;19265;19170;19311;
6000;10271;16662;10163;19496;19522;19618;
6100;10776;17318;10168;19946;19805;19997;
6200;10833;16501;10595;20316;20067;20362;
6300;10545;16239;10969;20548;20701;20680;
6400;10820;17224;10923;21015;20999;21108;
6500;11591;17462;11718;21303;20975;21400;
6600;11042;17661;11427;21678;21735;21666;
6700;12442;18009;11846;22000;21969;22025;
6800;11905;17996;12034;22250;21653;22384;
6900;11992;18886;11765;22606;22512;22520;
7000;12053;18628;12231;22936;22987;22989;
7100;11796;19897;12544;23126;22975;23207;
7200;12270;18845;12328;23454;23152;23510;
7300;12129;19940;12634;23839;23867;23869;
7400;13300;19409;12044;24223;24301;24203;
7500;12307;20625;13179;24564;24156;24615;
7600;13369;19309;12843;24912;25056;25031;
7700;12554;20683;12895;25138;25147;25262;
7800;13135;20903;13266;25571;25515;25664;
7900;13803;19953;13919;25882;25755;26022;
8000;13866;20606;13363;26211;26135;26328;
8100;13517;22016;13751;26522;26493;26520;
8200;14193;20535;14489;26810;26722;26929;
8300;14861;21031;14147;27252;26967;27343;
8400;12989;22373;14424;27580;27558;27612;
8500;14606;22882;14775;27829;27639;27960;
8600;14287;22529;14379;28241;28168;28289;
8700;15428;23687;15511;28543;28535;28492;
8800;15334;24064;15773;28814;28941;28946;
8900;15284;24033;14737;29063;29109;29207;
9000;15926;24632;15695;29395;29335;29439;
9100;14512;24184;15147;29697;29461;29721;
9200;15606;24077;15825;30212;29772;30188;
9300;15706;25398;16801;30359;30257;30358;
9400;15284;24844;15920;30701;30599;30716;
9500;15034;26279;15445;30981;31131;31096;
9600;16890;26743;16756;31297;31165;31293;
9700;16061;25480;15839;31720;31701;31788;
9800;16595;26597;17209;32032;32218;32130;
9900;17078;27170;16884;32272;32339;32506;
10000;15384;26189;17031;32889;32807;32951;
