N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;75.485098;73.109507;71.658914;21.840330;50.685304;50.685304;
200;146.887712;175.536321;130.230565;43.058100;89.028085;66.483081;
300;215.773029;223.515100;202.202868;63.827894;132.698907;68.234888;
400;280.237399;270.445928;226.704654;57.218878;182.734780;81.295756;
500;286.649612;382.385931;273.673163;87.068938;139.982142;79.195959;
600;418.504480;487.837063;322.608121;100.229736;90.221949;90.305039;
700;444.262310;523.029636;422.022511;101.828287;338.178947;106.193220;
800;550.632364;725.182046;433.352051;113.168017;205.423952;125.351506;
900;591.751637;695.299935;551.902165;124.269868;197.005076;123.923363;
1000;619.747529;845.067453;502.870759;136.169013;331.942766;129.294238;
1100;797.712354;917.757593;548.349341;146.499147;309.441432;126.621483;
1200;743.356577;963.689784;693.039681;141.746252;486.230398;135.007407;
1300;943.341932;998.352643;600.593040;185.283566;280.670625;214.168158;
1400;839.186511;973.996407;642.702108;146.499147;470.039360;160.726476;
1500;966.303265;1075.177660;793.026481;224.595191;662.619046;212.372315;
1600;1111.995054;1350.264419;786.456610;159.890588;529.658380;174.175199;
1700;1064.049811;1278.611747;765.479588;212.094319;197.286594;187.034756;
1800;1243.580717;1304.619868;892.863371;144.076369;663.636949;171.970928;
1900;1046.119974;1344.403213;1033.970019;249.202729;487.448459;266.867008;
2000;1161.673362;1506.553351;841.294241;217.209576;599.319614;214.462118;
2100;1309.953053;1706.951669;1058.415325;200.820816;565.324685;190.268232;
2200;1567.131137;1890.005291;1069.219341;229.604007;541.397266;248.891543;
2300;1382.460849;1692.438773;1011.540904;307.170962;607.893905;290.950168;
2400;1403.272960;1793.271591;1428.947165;248.473339;594.818460;243.452254;
2500;1708.125874;2000.161493;1263.921675;290.482357;993.800785;309.993548;
2600;1539.202391;1911.474300;1305.476158;260.779600;634.595934;227.591740;
2700;1495.288601;2336.332382;1213.750386;272.016544;946.319713;290.349789;
2800;1792.880643;2172.119011;1392.014368;277.901062;515.893400;265.497646;
2900;2021.367606;2136.793158;1281.310267;267.348088;216.333077;266.135304;
3000;1949.568927;2175.741713;1325.285252;312.824232;883.895921;340.703684;
3100;1951.824787;2504.844905;1350.536930;308.058436;585.536506;321.479393;
3200;2354.617803;2664.432585;1681.600725;309.030743;1004.115531;334.526531;
3300;2271.543968;2681.640729;1635.723999;309.979032;604.134091;277.285052;
3400;2118.682610;2499.726785;1504.785367;273.093391;824.380980;242.396370;
3500;1829.623185;2466.588129;1584.075756;325.143045;317.387775;352.624446;
3600;2383.107215;2645.417736;1778.562341;388.099214;903.202635;345.188354;
3700;2322.508773;3270.115900;1833.502386;304.763843;916.576238;379.142453;
3800;2830.268715;2652.641514;1789.257667;379.238711;1383.845367;386.706607;
3900;2449.823055;3434.620357;1771.542548;406.484932;1539.858110;371.194019;
4000;2248.767440;2579.751538;1934.949095;390.096142;361.954417;367.040870;
4100;3004.633255;3548.069334;1872.790698;339.599764;338.453837;325.581019;
4200;2418.065136;3269.006118;2138.074835;329.508725;311.576636;316.788573;
4300;2961.357628;3582.664232;1883.844739;257.480096;761.811657;307.200260;
4400;2901.850789;3359.642094;2060.316966;406.805850;1063.302403;417.267300;
4500;2912.794534;3541.268134;2092.670065;395.805508;844.361889;412.675417;
4600;2695.459516;3333.077407;2136.518196;438.520239;1127.815588;454.137644;
4700;3083.547470;3941.854005;2163.168047;381.546852;1429.477527;337.629975;
4800;3317.017636;3559.646050;2360.617292;500.530718;917.865459;487.677147;
4900;2560.240223;3725.481714;2346.411942;355.508087;1783.823141;383.807243;
5000;2899.018455;3858.138541;2248.501946;462.136344;1456.758731;460.063039;
5100;3421.081993;3939.671687;2233.054634;552.958407;1285.882187;502.319619;
5200;3632.069796;4081.916462;2333.775053;410.885629;1528.658889;379.773617;
5300;3194.285992;3987.725417;2416.345588;383.186639;392.424515;388.477799;
5400;3027.719769;4413.563640;2523.229676;434.991954;1304.429760;425.782808;
5500;3666.652970;3749.406753;2339.127188;426.705988;2183.771966;501.639313;
5600;2857.181828;4005.919121;2830.189570;483.602109;1616.176042;551.875892;
5700;3674.819996;5292.785561;2186.223456;429.010489;1364.509802;404.066826;
5800;2835.016931;4056.532140;2435.371635;494.740336;1408.153756;521.148731;
5900;3757.151048;4556.821809;2699.002594;613.275631;1477.666065;536.779284;
6000;3790.953574;4595.734979;2584.293134;649.441298;1158.656981;612.015523;
6100;3833.703431;4904.399556;2427.608082;490.357013;1462.016758;472.672191;
6200;3576.546798;4785.691277;2601.237398;475.204167;1814.271204;482.485233;
6300;4346.559904;5118.996288;2484.041465;608.974548;634.322473;546.551919;
6400;3851.496592;4412.018019;2681.913869;474.525026;1117.083256;423.622473;
6500;4475.807972;5272.282049;3120.782434;592.141875;2133.974227;487.447433;
6600;4173.534354;4408.642081;3119.216408;447.751047;502.881696;469.256859;
6700;5037.584242;5184.244111;3073.616599;458.513904;1181.553638;434.607869;
6800;4585.902746;5381.311643;3401.733088;519.198421;2669.461182;464.783821;
6900;4112.549817;5424.073008;3029.908910;542.269306;1270.828076;532.150355;
7000;4816.458554;5102.853711;2599.210842;407.036853;407.700871;395.245493;
7100;4386.992022;6547.027112;2776.223154;647.130590;1733.692303;679.630046;
7200;4519.608279;5342.650747;3002.743745;642.998445;2078.506675;623.738727;
7300;4329.589703;6754.827755;3206.957904;592.601890;604.556035;578.412483;
7400;5152.817482;5180.823776;3022.327911;462.238034;514.964076;537.747152;
7500;5291.006710;6070.210869;3414.767342;646.719414;2504.647081;547.633089;
7600;5381.185743;6410.220667;3221.623504;512.927870;474.652504;487.721232;
7700;4421.657947;6348.293314;3198.247489;736.985074;1428.821542;609.208503;
7800;4502.536174;6151.393094;3241.863199;676.406682;1356.949152;529.672540;
7900;4683.441043;5558.292094;3862.089072;521.880254;1856.810976;414.175084;
8000;4907.968317;6236.801584;3653.461509;628.438541;1902.721472;563.666568;
8100;5095.652461;6685.818873;4013.949178;756.805127;1494.824739;777.022522;
8200;5063.895832;5454.008801;3691.327404;744.664354;1559.020526;725.541866;
8300;5422.748565;6155.747721;3984.732362;626.178090;2574.863492;585.059826;
8400;4005.391991;5730.117015;3545.569066;482.059125;1463.037594;541.433283;
8500;5167.412892;6257.093335;3779.823938;568.896300;2038.617178;521.303175;
8600;4734.824706;6661.479640;3977.526870;567.607259;1519.418639;563.525510;
8700;6547.105544;5994.210373;4106.551108;544.944034;598.991653;509.347622;
8800;5626.988093;7461.367301;3955.693618;537.309966;515.707281;469.977659;
8900;6218.573550;7414.374552;3674.891427;702.679159;1561.137726;725.471571;
9000;5938.248984;7628.268021;3772.205588;632.084646;1595.467330;692.301235;
9100;5082.677641;7260.929211;3470.859980;752.916994;2245.284392;812.553383;
9200;5783.877073;6099.169862;3860.721824;508.989194;2632.831176;550.175427;
9300;4924.065597;8617.727311;3799.443643;717.719304;1649.939393;870.545806;
9400;5884.342019;7315.034586;4587.449727;849.616384;1700.102350;814.944170;
9500;5233.218513;7182.072403;3788.987860;790.992415;844.556688;872.434525;
9600;6795.610569;6589.517964;4436.053652;938.243039;1815.196408;957.114936;
9700;5695.726205;7973.920742;4010.191143;735.097272;1719.441479;780.203820;
9800;6550.451282;7255.477035;4351.493422;708.123577;733.106404;746.766362;
9900;5940.579601;7660.098237;4683.819915;848.870426;1804.028270;805.475015;
10000;4619.429835;7238.970162;4191.281904;543.116930;1732.544949;563.571646;
