N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;525;516;499;351;382;382;
200;997;1261;889;731;726;801;
300;1583;1405;1291;1106;1101;1108;
400;1599;1704;1654;1423;1434;1412;
500;1902;2483;1898;1764;1759;1768;
600;2405;3037;2007;2081;2135;2170;
700;2708;3384;3070;2412;2449;2451;
800;3043;4333;3299;2849;2855;2894;
900;3878;4691;3819;3086;3161;3123;
1000;3746;5890;3511;3458;3432;3474;
1100;4852;6917;3812;3792;3835;3839;
1200;4631;6591;4559;4122;4141;4162;
1300;5481;7035;4822;4447;4567;4525;
1400;6627;5876;4046;4874;4845;4805;
1500;6145;6390;5129;5172;5209;5201;
1600;6629;10487;4933;5452;5570;5597;
1700;7623;8709;5841;5827;5918;5955;
1800;6612;7994;6093;6116;6182;6134;
1900;6327;9399;6768;6556;6509;6484;
2000;7852;11091;6249;6801;6861;6842;
2100;8412;13985;7344;7128;7172;7189;
2200;8858;14025;8188;7621;7537;7523;
2300;8242;10927;6753;7852;7823;7907;
2400;8296;11648;10575;8263;8234;8217;
2500;8948;12702;8568;8499;8591;8475;
2600;9841;13226;9615;8860;8860;8839;
2700;9473;18777;8168;9220;9212;9346;
2800;9640;13017;9754;9537;9568;9540;
2900;12238;15610;10515;9857;9920;9989;
3000;11245;16100;10000;10168;10302;10286;
3100;12103;14768;11072;10610;10623;10573;
3200;12612;18034;11981;10887;10993;11033;
3300;12238;17992;10992;11195;11228;11247;
3400;13975;15393;10103;11520;11619;11446;
3500;10773;16588;12668;11879;11903;11926;
3600;15367;17674;13193;12183;12193;12201;
3700;13931;18957;13386;12439;12555;12575;
3800;13934;19340;11683;12900;12975;12966;
3900;15406;22664;12761;13269;13367;13206;
4000;14077;17689;15633;13659;13621;13603;
4100;17094;22516;12899;13907;14000;13984;
4200;15042;19617;15452;14256;14331;14271;
4300;16110;26013;13869;14539;14553;14547;
4400;19271;20321;12059;14881;14917;14885;
4500;16917;22013;16033;15203;15276;15220;
4600;16615;23032;14566;15625;15525;15692;
4700;17966;26479;14928;15802;15973;15931;
4800;22046;23028;19279;16120;16185;16229;
4900;16237;27519;17734;16670;16535;16602;
5000;16510;24808;16341;16985;16944;16868;
5100;27613;24923;18496;17186;17349;17320;
5200;24600;29195;14706;17591;17695;17616;
5300;20578;26840;16410;18021;17950;18139;
5400;17085;28908;21860;18279;18485;18465;
5500;24511;25415;15673;18592;18767;18657;
5600;17293;24718;21217;18902;18974;19090;
5700;21670;35563;15111;19219;19258;19371;
5800;18285;25199;18840;19597;19717;19690;
5900;27415;30458;16711;20022;20272;19941;
6000;22909;27586;19292;20496;20361;20384;
6100;22793;32420;17628;20778;20720;20544;
6200;19454;31619;18259;21140;21213;21085;
6300;33961;35186;17383;21286;21450;21386;
6400;26587;29721;19025;21733;21671;21695;
6500;29508;37564;20773;22036;22038;22231;
6600;24599;30816;19360;22306;22353;22443;
6700;29279;33377;18751;22632;22635;22673;
6800;26839;35068;26211;23071;22968;23003;
6900;24381;30711;21406;23135;23386;23372;
7000;29684;35257;19652;23547;23757;23732;
7100;30515;37754;20716;23992;23958;24149;
7200;26561;35279;19995;24263;24346;24177;
7300;30337;47458;23306;24458;24668;24571;
7400;30107;33654;20918;24894;24958;25068;
7500;36647;39267;22637;25316;25388;25445;
7600;31131;35985;21395;25598;25845;25714;
7700;26965;40168;20578;25912;26144;26250;
7800;26119;38729;23376;26367;26335;26359;
7900;25991;40698;25537;26618;26773;26855;
8000;30178;40634;22822;27131;27141;27009;
8100;33316;39548;24298;27433;27381;27409;
8200;29744;40421;24990;27604;27689;27795;
8300;34573;39713;30319;27979;27978;28139;
8400;23300;38894;24231;28475;28477;28384;
8500;30188;41658;29158;28633;28632;28803;
8600;30416;49244;28556;29028;29144;28983;
8700;50147;45796;26852;29322;29422;29205;
8800;36156;41800;27654;29533;29708;29685;
8900;44451;48752;23500;29892;30080;29995;
9000;35855;51565;25949;30345;30509;30261;
9100;37798;45161;28150;30520;30621;30607;
9200;33913;39914;30331;31122;31354;30926;
9300;28349;51329;31647;31251;31337;31197;
9400;34231;43628;32186;31507;31496;31525;
9500;34695;49587;25465;31950;32081;32280;
9600;42092;44185;31724;32366;32333;32351;
9700;41173;54820;26060;32704;32770;32791;
9800;37792;56061;33829;32928;32891;32834;
9900;33635;55325;35735;33211;33369;33398;
10000;28090;47548;26551;33598;33895;33760;
