N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;116;101;101;257;130;130;
200;238;201;233;515;255;415;
300;301;358;301;801;400;794;
400;401;429;471;1064;629;960;
500;559;573;501;1350;819;1407;
600;635;969;666;1561;1707;1696;
700;750;701;723;1935;882;1943;
800;833;1064;821;2205;1396;2085;
900;917;1152;981;2476;1436;2431;
1000;1001;1373;1092;2773;1636;2817;
1100;1152;1204;1299;2996;1458;3132;
1200;1233;1520;1265;3323;1865;3432;
1300;1382;1626;1359;3618;2073;3601;
1400;1445;1401;1546;4129;2257;3928;
1500;1572;1842;1537;3987;1977;4274;
1600;1685;2411;1740;4578;2655;4405;
1700;1733;2603;1833;4585;4701;4630;
1800;1855;1873;1894;5072;2836;5175;
1900;1940;2203;2057;5170;3082;4864;
2000;2067;2001;2077;5604;3258;5804;
2100;2169;2789;2258;6032;2796;6109;
2200;2245;2201;2306;6183;3666;6173;
2300;2301;3662;2391;6390;3713;6431;
2400;2484;3103;2427;6606;3959;6771;
2500;2543;2753;2550;7139;4085;6755;
2600;2633;3079;2644;7350;4291;7600;
2700;2701;3211;2900;7816;3577;7263;
2800;2901;3630;2902;7848;4710;8051;
2900;2976;4287;3149;8307;8695;8291;
3000;3081;3977;3240;8756;4811;8450;
3100;3285;3388;3207;8915;5227;9161;
3200;3235;3560;3363;9348;4269;9454;
3300;3399;4430;3472;9655;5409;9691;
3400;3433;4467;3448;9976;5636;10224;
3500;3618;4499;3841;10321;10330;9396;
3600;3778;4202;3782;9943;5937;10019;
3700;3733;3959;3763;10610;5856;10096;
3800;3910;5694;4081;10463;6304;10742;
3900;3979;4401;3951;11245;6212;11213;
4000;4082;4476;4235;11357;11559;11596;
4100;4134;4681;4282;11662;12077;12401;
4200;4359;4627;4262;12193;12390;12462;
4300;4390;4981;4576;12885;7079;12696;
4400;4570;5126;4559;12815;7212;12791;
4500;4649;5353;4802;13171;7174;13055;
4600;4720;6909;4810;13316;7398;13489;
4700;4816;6076;4862;13646;6263;13883;
4800;4895;5285;4917;13069;7915;13927;
4900;5041;6787;5151;14374;7831;14426;
5000;5130;7852;5268;14362;8180;14677;
5100;5199;5684;5260;13824;8082;14978;
5200;5325;5481;5201;14747;8347;15386;
5300;5372;8145;5364;15913;15324;15597;
5400;5526;8069;5435;15644;8847;16141;
5500;5562;7976;5594;16086;8719;15566;
5600;5722;5802;5735;16325;9232;15085;
5700;5830;7082;5810;16865;9360;16876;
5800;5941;6725;6019;17177;9589;16525;
5900;5933;8503;6198;16892;9450;17201;
6000;6001;6704;6358;16430;9949;17644;
6100;6188;9710;6378;17777;10132;18007;
6200;6233;7080;6459;18386;9998;18271;
6300;6354;6891;6388;18514;18306;18688;
6400;6516;9473;6459;18987;10707;19177;
6500;6689;7585;6593;18854;10780;18901;
6600;6724;9246;6657;19409;19585;19538;
6700;6846;7255;6858;19856;11163;20087;
6800;6960;8597;7140;19932;11172;20013;
6900;6992;9542;7034;20009;11017;20126;
7000;7067;9414;7273;20956;21060;20875;
7100;7133;9431;7282;20639;11691;20971;
7200;7288;7449;7477;21067;11796;21304;
7300;7406;9074;7458;21506;21621;21589;
7400;7433;9084;7903;22061;21410;21840;
7500;7533;7501;7558;20219;11995;22143;
7600;7743;8845;7770;22255;22668;22424;
7700;7803;11301;8030;21516;12631;22516;
7800;7889;11261;8071;21900;13131;23256;
7900;8131;9094;8069;23516;13027;23907;
8000;8104;9471;8162;23612;13330;23792;
8100;8241;9988;8253;23312;13391;23395;
8200;8359;8732;8452;23772;13409;24229;
8300;8333;9956;8515;24049;10973;24636;
8400;8470;13438;8708;25099;13733;25081;
8500;8722;10493;8559;25588;13790;25100;
8600;8811;12201;8762;25139;14364;25370;
8700;8918;10791;9120;26073;26225;25976;
8800;8833;11330;9277;25854;25883;26409;
8900;8992;11340;9285;26134;14803;24717;
9000;9116;11813;9492;26483;14997;26590;
9100;9293;10009;9437;26398;14564;26474;
9200;9385;13276;9550;27278;14867;27108;
9300;9416;10961;9706;27130;15472;26066;
9400;9433;11308;9706;26321;15488;27080;
9500;9570;11453;9838;28178;26758;26899;
9600;9778;9601;9719;27537;15638;26978;
9700;9857;11247;9861;28412;16087;28528;
9800;9944;10667;10227;29050;28361;29153;
9900;9999;15383;10273;29087;16187;28615;
10000;10165;12280;10194;29762;16524;29509;
