N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;226;232;238;176;176;176;
200;391;465;443;347;350;351;
300;509;684;577;522;524;531;
400;675;945;770;695;683;701;
500;813;1161;899;849;860;853;
600;950;1423;1034;1032;1056;1051;
700;1148;1669;1273;1201;1147;1211;
800;1162;2017;1239;1386;1400;1413;
900;1330;2161;1507;1531;1556;1554;
1000;1480;2493;1595;1702;1687;1718;
1100;1690;2606;1777;1885;1896;1903;
1200;1569;2946;1854;2052;2013;2074;
1300;2035;3063;1956;2220;2226;2223;
1400;1930;3314;2208;2390;2350;2390;
1500;2198;3517;2362;2536;2468;2544;
1600;2414;3908;2532;2754;2724;2776;
1700;2640;4028;2581;2917;2929;2936;
1800;2809;4231;2865;3068;3010;3074;
1900;2660;4485;2881;3185;3193;3219;
2000;2815;4747;2859;3403;3391;3420;
2100;3194;5274;3226;3608;3590;3602;
2200;3613;5353;3276;3726;3732;3750;
2300;3386;5448;3425;3871;3860;3896;
2400;3252;5720;3787;4081;4064;4113;
2500;3790;6080;3639;4215;4130;4238;
2600;3646;6203;3865;4405;4392;4424;
2700;3556;6623;3938;4568;4487;4593;
2800;4053;6622;4173;4755;4740;4739;
2900;4489;7088;4265;4898;4938;4925;
3000;4412;6969;4392;5058;5033;5100;
3100;4118;7440;4285;5269;5266;5272;
3200;4943;7460;4770;5435;5394;5444;
3300;4878;8342;4708;5602;5620;5643;
3400;4590;7958;4910;5788;5751;5794;
3500;5136;8281;4914;5904;5914;5915;
3600;5320;8956;5268;6056;6034;6101;
3700;5516;8949;5230;6240;6215;6224;
3800;5574;9018;5597;6436;6299;6442;
3900;5703;9845;5954;6585;6406;6595;
4000;5405;9226;5709;6785;6828;6781;
4100;5990;10034;5848;6969;6996;6992;
4200;6011;10618;5852;7164;7206;7159;
4300;6406;10817;6271;7310;7291;7314;
4400;6905;10113;6451;7399;7349;7426;
4500;6174;10722;6280;7603;7591;7598;
4600;6122;10492;6653;7727;7669;7753;
4700;6710;11651;6602;7925;7854;7952;
4800;7307;11173;6739;8028;8014;8070;
4900;7070;11445;7008;8281;8088;8276;
5000;7065;11940;6999;8437;8367;8466;
5100;6469;11989;7183;8573;8526;8613;
5200;8232;12711;7532;8804;8735;8824;
5300;6879;13221;7454;8981;9014;8956;
5400;6595;13491;7514;9117;9053;9105;
5500;7821;13232;7456;9320;9034;9310;
5600;7514;13334;8173;9428;9349;9441;
5700;7724;13936;7716;9596;9539;9650;
5800;7677;13430;8261;9780;9715;9773;
5900;7636;14222;8229;9933;9883;9957;
6000;8675;15248;8291;10052;10064;10131;
6100;8715;15254;8304;10289;10211;10322;
6200;8641;14395;8533;10471;10343;10495;
6300;8564;14593;8670;10587;10670;10662;
6400;8768;15907;8964;10830;10819;10871;
6500;9078;16300;9367;10976;10805;11028;
6600;9409;15888;9240;11166;11195;11166;
6700;10480;15768;9827;11324;11310;11347;
6800;9610;16050;9733;11451;11140;11529;
6900;9345;17119;9600;11632;11576;11578;
7000;9296;16938;9529;11802;11825;11826;
7100;9283;18006;9988;11882;11806;11924;
7200;9570;16718;10047;12052;11894;12076;
7300;10339;18346;10146;12250;12264;12265;
7400;10139;16740;9974;12450;12490;12445;
7500;10211;18003;10661;12625;12416;12653;
7600;11278;17122;10358;12816;12893;12877;
7700;10140;18616;10421;12930;12936;12996;
7800;10730;18727;10806;13152;13129;13205;
7900;10893;17843;11467;13323;13265;13400;
8000;11459;18466;10804;13505;13462;13563;
8100;11460;19520;11140;13668;13658;13662;
8200;11091;17856;11409;13809;13753;13867;
8300;12106;18932;11664;14034;13888;14084;
8400;9926;19924;11881;14198;14183;14205;
8500;12246;20164;11694;14320;14225;14386;
8600;11002;19641;11831;14535;14489;14553;
8700;12648;21137;12543;14685;14661;14640;
8800;12281;21975;12553;14799;14852;14863;
8900;12739;21697;11941;14918;14947;14993;
9000;12678;22158;12393;15084;15051;15102;
9100;11756;21676;12308;15237;15111;15250;
9200;12741;21546;12717;15499;15263;15470;
9300;13081;23045;13253;15579;15523;15587;
9400;12250;22607;12793;15759;15702;15759;
9500;12590;23293;12813;15894;15978;15962;
9600;13856;25118;13561;16057;15989;16053;
9700;12487;22586;13140;16274;16256;16302;
9800;13652;23840;14003;16427;16534;16483;
9900;13713;23891;13533;16562;16604;16683;
10000;11740;23213;13479;16898;16855;16930;
