N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;86.781334;80.882631;80.734132;15.000000;30.822070;30.822070;
200;173.487752;165.529454;142.716502;30.265492;54.690036;40.024992;
300;248.638291;210.325938;201.625891;43.965896;76.262704;40.607881;
400;389.684488;310.411018;250.509481;39.949969;104.565769;50.645829;
500;388.777571;400.455990;317.583060;58.847260;83.306662;48.620983;
600;591.508242;476.245735;311.522070;67.549981;59.084685;52.278102;
700;591.450759;576.614256;344.100276;67.297845;187.416648;64.799691;
800;751.656837;795.852373;375.872319;74.578817;118.330047;75.319320;
900;724.566767;783.676591;521.688604;78.492038;113.912247;74.384138;
1000;849.280872;822.732034;434.786154;90.049986;183.698122;77.935871;
1100;1030.470281;981.699547;488.990797;96.757429;175.025712;74.639132;
1200;1006.683664;1001.691070;552.639123;92.811637;268.195824;78.854296;
1300;1047.479833;989.661558;503.649680;111.458512;155.977562;122.930875;
1400;1154.753653;1062.667399;611.442557;91.438504;253.385082;91.054928;
1500;1281.437084;1236.467953;648.631637;137.175071;359.706825;122.176102;
1600;1467.072936;1362.757866;670.807722;105.047608;284.992982;101.882285;
1700;1426.070826;1377.609161;655.383857;132.404683;120.975204;109.224539;
1800;1504.395227;1446.673771;811.507856;89.554453;355.336460;98.040808;
1900;1484.599946;1438.455422;809.364566;153.065346;266.602701;151.584960;
2000;1582.593757;1570.273543;694.794214;137.429982;325.207626;118.456743;
2100;1715.051020;1881.566369;959.448800;127.604859;309.460821;115.607093;
2200;1973.692732;2186.605131;1021.286444;141.141773;291.489279;139.269523;
2300;1843.920009;1804.753446;743.742563;184.583315;328.805414;163.070537;
2400;2029.475548;1996.255996;1270.615205;154.217379;320.760035;133.992537;
2500;2192.815770;1990.575043;945.259753;173.712406;528.249941;175.439448;
2600;2089.027286;1824.731487;938.945685;160.315314;339.713114;126.925175;
2700;2297.373283;2263.350614;1047.613478;159.878079;502.192194;156.850247;
2800;2424.515828;2208.910591;1215.225905;171.577971;282.595117;147.922277;
2900;2600.158841;2552.434328;1108.065431;164.371530;128.537932;140.035710;
3000;2594.753167;2166.836865;1059.115197;185.717527;470.098926;191.530676;
3100;2556.032081;2732.137259;1075.458042;185.897821;321.412508;182.104366;
3200;3228.568568;2801.106567;1420.349253;180.986187;537.009311;189.171880;
3300;2947.222252;2964.950084;1196.814522;181.383571;329.328104;159.251374;
3400;3002.117253;2993.104910;1208.219351;166.724323;437.508857;136.857590;
3500;2626.355079;2669.441327;1250.649831;194.393930;179.541082;192.608411;
3600;3338.026663;2820.777907;1513.243536;221.891866;480.070828;190.769494;
3700;3275.007939;3363.934006;1284.767294;180.955796;486.300319;210.957342;
3800;3489.494233;2838.820706;1392.384286;218.192575;730.419058;215.935175;
3900;3564.887235;3416.755771;1761.382979;236.657981;811.966132;207.672820;
4000;2905.691828;2852.117108;1538.636409;235.925836;213.354166;206.450963;
4100;3949.893290;3421.352364;1384.605359;207.574083;201.563886;183.937489;
4200;3272.855023;3867.685225;1665.159752;190.635778;180.216536;173.925271;
4300;3983.019583;3743.211589;1542.976345;155.463822;404.152199;174.172328;
4400;3728.683011;3355.661336;1700.512570;233.385946;567.003527;231.939647;
4500;3671.163576;3364.122471;1608.810119;228.534461;447.387975;218.677845;
4600;3951.536537;3217.697469;1716.628673;258.658075;597.408570;248.724747;
4700;4113.482102;3814.539684;1650.041212;229.466773;754.356680;191.091601;
4800;4039.271221;3703.041453;1879.174819;280.510249;491.817039;268.337474;
4900;4008.487246;3603.408942;1841.294382;217.515517;937.072036;205.462892;
5000;4106.268257;4090.021516;1973.669679;263.674041;765.540332;247.933459;
5100;4514.619364;4079.739575;1745.780914;316.914815;678.532976;277.717482;
5200;4484.285116;4742.249572;1970.736664;242.381930;802.000000;196.972079;
5300;4420.990952;4553.888668;1897.205840;228.392207;220.979637;210.192769;
5400;4479.041192;4227.540774;2077.299208;261.547319;687.286694;229.582229;
5500;4711.065378;4360.882938;1697.098406;251.151349;1143.068677;276.043475;
5600;4114.448687;4451.058526;2365.916524;274.246240;844.524126;301.792975;
5700;4542.634918;5585.707565;1573.695650;254.397327;716.254843;224.298908;
5800;4476.292551;4504.104795;2140.681200;285.106997;738.073167;280.392582;
5900;5526.605920;4560.682076;1982.324393;356.227455;777.307532;284.596205;
6000;5203.501706;5341.575049;2013.303753;365.823728;622.309409;329.006079;
6100;5080.782026;4645.623424;1871.865380;281.668245;768.976593;261.210643;
6200;5098.140641;4153.814151;1927.447016;272.785630;952.454198;260.817944;
6300;5694.808513;5249.414348;1873.336862;343.204021;347.223271;293.409270;
6400;5284.586171;4736.232363;2199.322168;277.890266;585.028204;226.351497;
6500;5799.229518;6209.654902;2295.698586;352.210165;1114.219458;269.818457;
6600;5201.198708;5023.940784;2378.467994;266.790180;289.516839;261.898835;
6700;6174.824208;5031.366117;2693.968077;266.891364;625.693216;247.495455;
6800;6307.595897;5925.823234;2564.801162;296.241456;1391.538717;257.003891;
6900;5915.635131;5849.565112;2277.718595;309.071189;670.625082;302.334252;
7000;6536.716225;5839.674734;1862.904453;241.698159;243.078177;212.776878;
7100;6216.085746;6666.053555;2127.707922;364.522976;906.559430;367.709124;
7200;5777.669167;5793.049715;2336.074485;362.223688;1085.085711;330.457259;
7300;6264.630236;7337.206144;2388.781070;334.178096;339.657180;322.580223;
7400;6499.414281;5759.097672;2201.857852;269.683147;286.520505;290.688837;
7500;6619.955665;5986.288333;2571.252419;363.236837;1308.966386;300.294855;
7600;6945.139595;6271.851720;2341.777530;293.085312;274.819941;271.508748;
7700;6203.317661;7365.577438;2426.895548;413.340054;752.934924;332.971470;
7800;6248.965034;6675.932969;2452.951895;383.944006;713.928568;282.467697;
7900;6257.952700;6717.802096;3039.070088;302.844845;974.316170;230.742280;
8000;6813.018641;6768.527462;2483.363848;366.651060;994.967336;308.191499;
8100;7342.044674;6930.874764;2787.301921;426.817291;788.873881;422.315048;
8200;7160.658978;5684.555743;2668.429126;403.425334;817.028151;388.911301;
8300;7149.849859;6441.446499;2856.295328;357.285600;1346.515874;313.944263;
8400;6531.415467;6065.871166;2761.479857;286.244651;770.665946;291.989726;
8500;6655.303900;6337.834330;2942.824663;325.124592;1066.914242;279.180945;
8600;6475.222853;7106.264349;3124.550528;328.176782;793.971032;298.851134;
8700;8000.971316;6431.971859;3421.727780;316.434827;345.473588;276.911538;
8800;7879.818526;8084.377774;3069.271249;311.428965;287.099286;255.250857;
8900;8900.765473;8485.337412;2451.268243;391.465196;813.946558;393.157729;
9000;7731.344385;8771.762252;2807.273588;354.035309;832.338273;376.733327;
9100;7660.606634;8018.579550;2595.423087;418.362283;1174.970638;431.769614;
9200;7543.268390;6664.520013;3098.795734;295.590934;1366.357567;290.430715;
9300;7187.284675;8909.161072;3123.385023;397.068004;860.565512;462.671590;
9400;7720.026166;8290.381776;3554.743451;473.519799;894.816741;444.037161;
9500;7593.272615;7169.508003;2971.522337;442.835184;462.518108;468.953089;
9600;8778.846450;8647.721607;3556.693689;518.161172;952.964323;506.826400;
9700;7846.235148;8371.976589;3142.069859;411.711064;901.491542;403.811837;
9800;8504.211192;8014.938053;3707.437929;399.295630;401.680221;403.081878;
9900;8113.740260;7394.550426;3332.444898;475.703689;943.040826;421.614753;
10000;7314.978537;7552.583399;2969.920033;321.532269;909.793933;299.683166;
