N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;493;446;497;208;223;223;
200;855;1007;860;419;437;452;
300;1230;1404;1430;633;621;614;
400;1751;2041;1584;798;795;809;
500;1909;2146;2143;977;964;968;
600;2551;2866;1952;1147;1176;1179;
700;2804;3539;2643;1327;1352;1315;
800;3155;4269;2871;1598;1580;1564;
900;3151;5427;3513;1687;1683;1690;
1000;3902;4959;3319;1889;1881;1867;
1100;4786;5689;3273;2056;2081;2032;
1200;4508;5752;3545;2206;2241;2226;
1300;4832;6416;3759;2388;2415;2425;
1400;6481;6423;4249;2649;2598;2564;
1500;6668;8440;5057;2785;2778;2719;
1600;5892;9262;4774;2925;2949;2942;
1700;7133;8356;5050;3128;3103;3154;
1800;5890;8472;5446;3269;3239;3235;
1900;6798;10575;5623;3471;3444;3411;
2000;7716;10331;5322;3647;3679;3613;
2100;8506;10208;7839;3804;3820;3798;
2200;8867;15319;8381;4057;3961;3934;
2300;8758;10236;5811;4182;4156;4111;
2400;8979;12001;10198;4403;4341;4321;
2500;8709;12029;6712;4543;4536;4487;
2600;9359;11572;6669;4712;4663;4630;
2700;10830;14744;9954;4870;4861;4831;
2800;10553;13525;10943;5052;5027;4971;
2900;13099;13081;7971;5165;5172;5156;
3000;11526;13440;8051;5354;5427;5407;
3100;11224;15152;10341;5602;5573;5587;
3200;11431;17616;9554;5727;5781;5727;
3300;12687;19082;8336;5889;5854;5887;
3400;14675;15346;9258;6105;6058;5979;
3500;10567;16165;9334;6289;6199;6202;
3600;15699;19510;11522;6380;6353;6380;
3700;15518;20186;9506;6507;6556;6540;
3800;13259;17931;10470;6750;6779;6692;
3900;16374;19819;12189;6948;6995;6876;
4000;14612;16345;12033;7180;7090;7144;
4100;17382;18467;11672;7320;7350;7271;
4200;14584;20580;14802;7490;7448;7374;
4300;15647;22181;11501;7643;7613;7570;
4400;18508;18435;11821;7806;7747;7732;
4500;17898;19462;12436;7919;7915;7920;
4600;19724;19899;13111;8251;8150;8118;
4700;17560;22207;13684;8228;8296;8235;
4800;21943;22835;18621;8433;8385;8394;
4900;18699;24037;14312;8721;8585;8577;
5000;16037;26140;17543;8898;8832;8753;
5100;29167;22039;14448;8963;9026;8958;
5200;22247;29107;14832;9148;9183;9179;
5300;21234;29258;14732;9424;9391;9316;
5400;17026;26062;15731;9529;9558;9521;
5500;23311;24912;13319;9768;9733;9662;
5600;16268;28443;17477;9820;9901;9777;
5700;19137;33822;15159;9992;9970;10028;
5800;19259;25761;15950;10216;10238;10203;
5900;22938;27632;14065;10407;10557;10273;
6000;25387;34176;15184;10834;10556;10557;
6100;24601;29418;14004;10845;10822;10625;
6200;20699;25760;14704;11005;11024;10887;
6300;32029;32906;13917;11068;11144;11043;
6400;29964;30494;17163;11331;11259;11248;
6500;25495;39260;17045;11458;11374;11474;
6600;26528;30971;16417;11630;11630;11635;
6700;27659;30305;22254;11733;11727;11698;
6800;30643;33215;21117;12035;11980;11929;
6900;25375;32592;18317;12013;12039;12043;
7000;30992;37938;14453;12205;12260;12249;
7100;30982;38857;16492;12453;12411;12441;
7200;24695;40235;18431;12585;12542;12455;
7300;26835;42048;18182;12641;12733;12670;
7400;27681;37983;17172;12838;12889;12845;
7500;37615;33590;18558;13110;13141;13091;
7600;30756;33220;19890;13273;13332;13255;
7700;27004;41177;18833;13405;13543;13515;
7800;27814;37445;18694;13626;13675;13613;
7900;25952;44374;22794;13849;13891;13805;
8000;33131;38283;19572;14108;14088;13895;
8100;34612;39925;19969;14254;14179;14125;
8200;30536;36791;22305;14377;14349;14384;
8300;34355;37727;22073;14469;14451;14512;
8400;28004;41691;20231;14775;14741;14586;
8500;29859;37259;24926;14802;14888;14802;
8600;31444;46298;28026;15089;15062;14934;
8700;49255;40911;23207;15181;15284;15023;
8800;37023;48500;23013;15259;15271;15253;
8900;44334;52282;18720;15484;15510;15476;
9000;38261;51441;24208;15670;15762;15553;
9100;39165;46635;21109;15730;15813;15740;
9200;31389;40032;28202;16117;16161;15877;
9300;29037;57749;27456;16217;16136;16039;
9400;32389;45645;27177;16323;16291;16292;
9500;35490;41839;23740;16507;16516;16586;
9600;39765;47815;29796;16787;16712;16656;
9700;41115;56888;25289;16899;16982;16839;
9800;38043;58906;33617;17055;17000;16869;
9900;36305;48821;25283;17226;17217;17222;
10000;28990;48339;24461;17396;17559;17365;
