N;RK30;RKN2;RKN;SK30;SKN2;SKN
100;87;51;51;190;96;96;
200;222;101;219;321;193;345;
300;104;347;251;428;273;464;
400;396;427;434;741;360;719;
500;206;557;451;734;765;811;
600;543;874;602;1036;1059;1060;
700;616;351;702;1151;640;1273;
800;108;997;812;1438;1331;1437;
900;93;953;956;1556;1375;1595;
1000;674;1100;1063;1654;883;1818;
1100;227;1154;1208;1837;975;1977;
1200;793;1474;1253;2110;1015;2056;
1300;959;1551;1337;2268;2053;2339;
1400;283;701;1454;2476;2130;2327;
1500;1019;1680;1534;2566;1222;2603;
1600;1406;2002;1713;2745;2410;2734;
1700;285;2491;1816;2895;2949;2991;
1800;1157;1837;1850;3008;1576;3069;
1900;691;2071;1942;3397;2906;3321;
2000;1359;1001;2021;3387;3024;3434;
2100;1206;2384;2184;3728;1790;3465;
2200;1336;1101;2247;3192;3354;3286;
2300;639;3510;2359;4064;3609;3923;
2400;192;2904;2405;4141;3757;4047;
2500;718;2711;2523;4051;4009;4347;
2600;2047;3056;2636;4328;4221;4398;
2700;965;2996;2830;4568;2338;4630;
2800;451;3393;2895;4624;4586;4510;
2900;165;3875;3070;4460;4738;4895;
3000;398;3827;3144;5158;4626;5151;
3100;2491;3341;3131;4958;4902;5253;
3200;2100;3402;3319;5361;2600;5490;
3300;759;4116;3423;5523;5343;5829;
3400;2642;4154;3410;5272;5428;5715;
3500;2364;4197;3774;5984;5957;5970;
3600;1113;3986;3748;6342;5916;6172;
3700;2969;3846;3736;6129;5684;6144;
3800;582;5409;3977;6745;6266;6475;
3900;3187;4296;3902;6603;5893;6742;
4000;565;4284;4112;7030;7043;6792;
4100;3293;4584;4272;6834;7125;7079;
4200;2205;4538;4241;7187;7448;7195;
4300;3587;4686;4574;7446;6884;7354;
4400;4569;4634;4533;7132;6582;7433;
4500;1505;5007;4647;7484;7083;7763;
4600;2784;5998;4732;7908;3759;7947;
4700;2399;5453;4843;8090;3162;7483;
4800;4460;5127;4863;8142;7836;7621;
4900;3579;5034;4941;8721;7592;8515;
5000;967;7694;5058;8625;8128;8578;
5100;3779;5582;5228;8585;7830;8562;
5200;4588;5344;5151;8751;7345;8954;
5300;3830;7484;5352;9167;9123;9085;
5400;1995;7926;5402;9005;8628;9044;
5500;514;7599;5554;8996;4453;9214;
5600;5671;5699;5665;9245;9082;9352;
5700;5353;6991;5798;9456;9284;9630;
5800;2363;5838;6005;9852;9492;9838;
5900;325;7532;6112;10067;9167;10019;
6000;2135;6360;6216;10205;9930;10217;
6100;1300;8586;6324;10389;10061;10509;
6200;1577;6676;6446;10568;5293;10534;
6300;5303;6557;6329;9997;9982;10929;
6400;6056;8315;6429;10557;10674;11064;
6500;302;7084;6557;11115;5591;11234;
6600;2708;7977;6621;11534;11377;11287;
6700;3873;7024;6837;11486;10728;11163;
6800;5446;8240;7067;11710;5747;11462;
6900;2599;9270;7011;11862;5598;11944;
7000;508;8243;7177;11966;11916;11628;
7100;1567;9277;7207;11895;11469;12188;
7200;4831;7305;7368;12499;11788;11182;
7300;3143;8585;7453;12374;12406;12547;
7400;4337;7535;7709;12494;12550;12440;
7500;5344;3751;7533;12911;6064;12794;
7600;383;8582;7724;12765;12822;12982;
7700;6386;9729;8007;13091;11010;13007;
7800;6638;10809;8006;13472;12769;13344;
7900;6262;8504;8034;13527;12985;13502;
8000;6545;9436;8129;13693;12852;13828;
8100;7696;9886;8181;12689;12770;13542;
8200;6647;8556;8268;14006;13170;13819;
8300;7925;9847;8440;13827;6880;13936;
8400;3547;13364;8627;14208;6960;14342;
8500;1899;9285;8531;14472;12861;14702;
8600;2025;9903;8685;14377;14193;14655;
8700;1966;10076;9050;14865;14348;14965;
8800;8447;10731;9064;15018;14994;14774;
8900;8807;10636;9245;14896;14711;15343;
9000;5031;10533;9196;14990;14934;15167;
9100;7976;9841;9395;15288;14030;14913;
9200;495;12605;9487;15643;13974;14563;
9300;4704;10447;9492;15429;15415;15733;
9400;3395;10961;9699;16116;14997;15451;
9500;2174;10476;9628;16279;16223;16280;
9600;5485;4801;9662;16148;14346;16474;
9700;8294;10911;9848;14895;14797;14530;
9800;6559;10325;10146;15829;16347;16119;
9900;4065;13944;10050;16548;14817;16959;
10000;863;11808;10109;16877;16058;16659;
